"Group","Keyword","Location","Name","Rating","Reviews","Address","Phone","PlaceId","Website","Latitude","Longitude","Opportunity Score"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Neptune Pools","5","","Portland, OR 97201","(971) 313-8057","ChIJVVVVVT4KlVQRVcc3JK8Yy7M","","45.5055919","-122.68821639999999","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","CareFree Pool & Spa Supply Inc","4.5","","14811 NE Airport Way #300, Portland, OR 97230","(503) 253-1130","ChIJCatSC6KjlVQRdDGeryKQujU","http://carefreepoolandspasupplyincor.hibuwebsites.com/","45.5599893","-122.5091923","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Classic Pool Spa & Hearth","4.3","","17300 SE 82nd Dr, Clackamas, OR 97015","(503) 656-0021","ChIJv_Jlqyp0lVQRt9yE9RYcD58","https://www.classicpoolandspa.com/?utm_source=google&utm_medium=localSEO&utm_campaign=Clackamas","45.397340899999996","-122.5705801","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","PDX Pools","5","","","(503) 560-6466","ChIJnaG41NTbcQ4RQroeatgBydg","https://www.pdxpools.com/","45.2746174","-122.7937096","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Portland Pool Company","5","","","(503) 809-5884","ChIJ6bxl_Ah7ooMRk7nRU_eSxm8","https://www.portlandpoolco.com/","45.4819691","-122.622596","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Premier Pools & Spas | Portland","4","","9150 SW Pioneer Ct Suite G, Wilsonville, OR 97070","(503) 498-6498","ChIJhdHUAtttlVQRN-wSSlkCv_s","https://premierpoolsandspas.com/pool-builders/oregon/portland/","45.337659099999996","-122.7714432","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Apollo Pools & Spas LLC","4.6","","13370 NW Cornell Rd, Portland, OR 97229","(503) 644-0556","ChIJ9YAceyoJlVQRIDFfr7BQvhU","http://apollopools.com/","45.5257408","-122.8132313","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Classic Pool Spa & Hearth","4.6","","20945 SW Tualatin Valley Hwy, Beaverton, OR 97003","(503) 642-4795","ChIJIVKfgGAOlVQRINnBN1Wwkfw","https://www.classicpoolandspa.com/?utm_source=google&utm_medium=localSEO&utm_campaign=Beaverton","45.4970029","-122.892392","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Neptune Pools","3.5","","13785 SE Ambler Rd, Clackamas, OR 97015","(503) 659-1335","ChIJv3J9iZd1lVQRRtA7imWJ7eA","http://www.neptuneswimmingpools.com/","45.4233131","-122.575239","0"
"Above Ground Swimming Pool Installation","Above Ground Swimming Pool Installation Portland","Portland","Haven Spa Pool & Hearth","4.9","","10560 SE Hwy 212, Clackamas, OR 97015","(503) 655-2900","ChIJ69eQo-d1lVQR7JYoDVuyMxI","http://www.havenspapoolhearth.com/","45.407133699999996","-122.55475089999999","0"
