city,state,location_code
Anchorage,Alaska,1012873
Anderson,Alaska,1012874
Angoon,Alaska,1012875
Atqasuk,Alaska,1012876
Utqiagvik,Alaska,1012877
Bethel,Alaska,1012878
Clear,Alaska,1012879
Cordova,Alaska,1012880
Craig,Alaska,1012881
Delta Junction,Alaska,1012882
Dillingham,Alaska,1012883
Eielson Air Force Base,Alaska,1012885
Elmendorf Air Force Base,Alaska,1012886
Fairbanks,Alaska,1012887
Galena,Alaska,1012888
Glennallen,Alaska,1012890
Gustavus,Alaska,1012891
Haines,Alaska,1012892
Healy,Alaska,1012893
Homer,Alaska,1012894
Hoonah,Alaska,1012895
Juneau,Juneau,1012896
Kenai,Alaska,1012897
Ketchikan,Alaska,1012898
Klawock,Alaska,1012899
Kodiak,Alaska,1012900
Kotzebue,Alaska,1012901
McGrath,Alaska,1012902
Metlakatla,Alaska,1012903
Mountain Village,Alaska,1012904
Nikiski,Alaska,1012905
Nome,Alaska,1012906
North Pole,Alaska,1012907
Palmer,Alaska,1012908
Pelican,Alaska,1012909
Petersburg,Alaska,1012910
Port Lions,Alaska,1012911
Seward,Alaska,1012912
Sitka,Alaska,1012913
Skagway,Alaska,1012914
Soldotna,Alaska,1012915
Tanacross,Alaska,1012917
Thorne Bay,Alaska,1012918
Tok,Alaska,1012919
Tununak,Alaska,1012920
Unalaska,Alaska,1012921
Valdez,Alaska,1012922
Wasilla,Alaska,1012923
Whittier,Alaska,1012924
Wrangell,Alaska,1012925
Yakutat,Alaska,1012926
Abbeville,Alabama,1012927
Adamsville,Alabama,1012928
Addison,Alabama,1012929
Adger,Alabama,1012930
Alabaster,Alabama,1012931
Albertville,Alabama,1012932
Alexander City,Alabama,1012933
Alexandria,Alabama,1012934
Allgood,Alabama,1012935
Alpine,Alabama,1012936
Andalusia,Alabama,1012937
Anniston,Alabama,1012938
Arab,Alabama,1012939
Arlington,Alabama,1012940
Ashford,Alabama,1012941
Ashland,Alabama,1012942
Ashville,Alabama,1012943
Athens,Alabama,1012944
Atmore,Alabama,1012945
Attalla,Alabama,1012946
Auburn,Alabama,1012947
Autaugaville,Alabama,1012949
Axis,Alabama,1012950
Bay Minette,Alabama,1012951
Berry,Alabama,1012952
Bessemer,Alabama,1012953
Birmingham,Alabama,1012954
Blountsville,Alabama,1012955
Boaz,Alabama,1012956
Bremen,Alabama,1012957
Brewton,Alabama,1012958
Brookwood,Alabama,1012959
Brownsboro,Alabama,1012960
Bucks,Alabama,1012961
Buhl,Alabama,1012962
Butler,Alabama,1012963
Calera,Alabama,1012964
Camden,Alabama,1012966
Carrollton,Alabama,1012967
Centre,Alabama,1012968
Centreville,Alabama,1012969
Chapman,Alabama,1012970
Chelsea,Alabama,1012971
Cherokee,Alabama,1012972
Childersburg,Alabama,1012973
Clanton,Alabama,1012974
Clayton,Alabama,1012975
Clio,Alabama,1012976
Coffeeville,Alabama,1012977
Columbia,Alabama,1012978
Columbiana,Alabama,1012979
Cottondale,Alabama,1012980
Cottonwood,Alabama,1012981
Cowarts,Alabama,1012982
Creola,Alabama,1012983
Crossville,Alabama,1012984
Cullman,Alabama,1012985
Daleville,Alabama,1012986
Daphne,Alabama,1012987
Dauphin Island,Alabama,1012988
Deatsville,Alabama,1012989
Decatur,Alabama,1012990
Demopolis,Alabama,1012991
Dixons Mills,Alabama,1012992
Dothan,Alabama,1012993
Eastaboga,Alabama,1012994
Eclectic,Alabama,1012995
Elba,Alabama,1012997
Elberta,Alabama,1012998
Enterprise,Alabama,1012999
Eufaula,Alabama,1013000
Eutaw,Alabama,1013001
Evergreen,Alabama,1013002
Excel,Alabama,1013003
Fairfield,Alabama,1013004
Fairhope,Alabama,1013005
Fayette,Alabama,1013006
Florence,Alabama,1013007
Foley,Alabama,1013008
Fruitdale,Alabama,1013009
Fort Deposit,Alabama,1013010
Fort Payne,Alabama,1013011
Fort Novosel,Alabama,1013012
Fulton,Alabama,1013013
Fultondale,Alabama,1013014
Gadsden,Alabama,1013015
Gardendale,Alabama,1013016
Geneva,Alabama,1013017
Glenwood,Alabama,1013018
Goodwater,Alabama,1013019
Gordo,Alabama,1013020
Grand Bay,Alabama,1013021
Graysville,Alabama,1013022
Greensboro,Alabama,1013023
Greenville,Alabama,1013024
Grove Hill,Clarke County,1013025
Guin,Alabama,1013026
Gulf Shores,Alabama,1013027
Guntersville,Alabama,1013028
Haleyville,Alabama,1013029
Hamilton,Alabama,1013030
Hanceville,Alabama,1013031
Hartselle,Alabama,1013032
Hatchechubbee,Alabama,1013033
Hayden,Alabama,1013034
Hayneville,Alabama,1013035
Hazel Green,Alabama,1013036
Headland,Alabama,1013037
Heflin,Alabama,1013038
Helena,Alabama,1013039
Hodges,Alabama,1013040
Hope Hull,Alabama,1013041
Huntsville,Alabama,1013042
Huxford,Alabama,1013043
Ider,Alabama,1013044
Jack,Alabama,1013045
Jackson,Alabama,1013046
Jacksonville,Alabama,1013047
Jasper,Alabama,1013048
Jefferson,Marengo County,1013049
Kellyton,Alabama,1013050
Killen,Alabama,1013051
Laceys Spring,Alabama,1013052
La Fayette,Alabama,1013053
Lanett,Alabama,1013054
Leeds,Alabama,1013055
Leesburg,Alabama,1013056
Lillian,Alabama,1013057
Lincoln,Alabama,1013058
Linden,Alabama,1013059
Lineville,Alabama,1013060
Livingston,Alabama,1013061
Loachapoka,Alabama,1013062
Locust Fork,Alabama,1013063
Loxley,Alabama,1013064
Luverne,Alabama,1013065
Madison,Alabama,1013066
