"Group","Keyword","Location","Name","Rating","Reviews","Address","Phone","PlaceId","Website","Latitude","Longitude"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Keystone Concrete Driveway Retaining Wall Foundation Contractor","4.8","125","1020 SW Taylor St Suite 540, Portland, OR 97205","(503) 770-8807","ChIJzfbecf0FlVQRLSLdp8SnCgU","https://keystoneconcretecontractor.com/","45.5186698","-122.6831289"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","TOA Concrete Construction LLC","4.8","45","401 NE 19th Ave, Portland, OR 97232","(503) 753-2952","ChIJVVWx8xSilVQRzOOY0Cz7qLw","https://www.toaconcrete.com/","45.525725","-122.646879"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Green Pacific Concrete","4.9","18","14420 NE Glisan St, Portland, OR 97230","(503) 501-1188","ChIJOwKWIPWilVQRZnAkV3rKuAM","","45.5262031","-122.5143238"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Allison Concrete Construction - Portland","4.8","16","","(503) 314-5138","ChIJhZLwG30NlVQRinoaB1hI5qA","https://allisonconcrete.com/?utm_source=SMI&utm_medium=GBP&utm_id=SMI","45.3329604","-122.56873689999999"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Oasis Concrete","5","84","","(503) 929-3397","ChIJF5PVa-iZlVQRexRxXKSCk40","","45.554946","-122.4157094"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Gs Concrete Inc Portland","4.8","36","","(503) 891-5947","ChIJzTKTFcl1lVQRgclQZiKL2_U","https://www.gsconcretework.com/","45.213889599999995","-122.8109291"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","TNT Concrete & Construction","4.8","46","","(503) 832-5066","ChIJBagXDeSnlVQRb1hTsiM3zaI","https://www.tntconcreteandconstruction.com/","45.519858","-122.4157094"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","ST Concrete LLC","5","82","","(503) 470-9072","ChIJn65UmdSjlVQRCmP0ACUg19E","http://stconcretellc.com/","45.542714499999995","-122.6543856"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","A & S Concrete Construction LLC","5","18","19550 E Burnside St #16, Portland, OR 97233","(971) 344-9135","ChIJoQufWS6jlVQRCBX-W0hLYyU","","45.5164889","-122.46237529999999"
"Concrete Contractor_Portland OR","Concrete Contractor","Portland OR","Xcelent Concrete Services","4.9","119","","(503) 676-0172","ChIJY5335OShlVQRl6M48ovWOOw","http://www.xcelentconcrete.com/","45.5224907","-122.622596"
